Symbol,PER(배),PBR(배),"배당수익률(보통주,현금+주식)(%)",영업이익증가율(전년동기)(%),영업이익증가율(3년평균)(%),"수익률 (현금배당반영,3개월)(%)","수익률 (현금배당반영,12개월)(%)",ROE(영업이익)(%),부채비율(%),순매수강세,value,growth,momentum,quality,label
A090850,10.69,1.76,1.17,16.19,23.52,-13.94,-33.38,21.43,119.44,-0.611454356553119,A,B,D,B,ABDB
A023600,2.95,0.33,1.71,-3.77,13.96,-6.09,-24.81,12.9,27.61,-0.13327120223671948,A,B,D,B,ABDB
A036630,,0.56,,,,-19.97,-40.5,-1.56,36.84,0.0021445738583841744,A,B,D,B,ABDB
A014940,12.49,1.21,2.18,37.12,19.81,43.83,10.02,11.47,120.34,-0.023239387693661562,A,B,D,B,ABDB
A079980,,0.42,,,,-7.1,-40.3,-19.55,108.19,-0.07667928243945968,A,B,D,B,ABDB
A203400,,8.4,,,,26.05,-4.75,-106.64,59.89,-1.093101079551542,A,B,D,B,ABDB
A089470,10.96,0.39,3.03,-28.14,-15.73,18.92,6.41,6.56,92.47,0.21581725426810788,A,B,D,B,ABDB
A396300,29.89,1.86,,-57.57,-26.11,8.76,-4.49,4.36,23.87,-0.14850801573376743,A,B,D,B,ABDB
A017900,9.15,0.52,2.29,-15.61,,11.25,-0.21,2.66,8.89,-0.34670285153445357,A,B,D,B,ABDB
A391710,,6.93,,-18.3,,-25.88,41.54,24.26,40.45,-3.289055338763324,A,B,D,B,ABDB
A206400,,0.99,,,,71.4,0.72,-2.47,44.69,-0.36547246934359223,A,B,D,B,ABDB
A061250,,1.05,,11.93,5.18,-10.02,-27.15,2.67,5.71,-0.42520427404148337,A,B,D,B,ABDB
A046390,10.57,2.34,,59.5,295.89,-12.69,-33.52,21.12,43.88,-1.4900024548427713,A,B,D,B,ABDB
A014530,6.34,0.63,5.51,49.33,22.47,-0.14,-18.11,15.79,71.97,0.2687223985781145,A,B,D,B,ABDB
A021080,4.46,0.73,5.73,-57.76,60.32,-12.58,-36.52,22.06,16.54,0.7296417445482866,A,B,D,B,ABDB
A005710,2.83,0.25,3.3,4.23,6.11,9.76,4.39,7.95,33.92,0.38711937776878097,A,B,D,B,ABDB
A363250,,1.65,,,,97.23,49.34,-16.68,17.3,5.927782419010489,A,B,D,B,ABDB
A046210,60.82,4.3,,-62.08,,-3.45,-5.27,5.13,9.42,0.307321375581127,A,B,D,B,ABDB
A035610,,0.72,,,,-20.96,-8.99,-13.32,20.97,0.2526421741318571,A,B,D,B,ABDB
A215090,8.74,3.13,,,,0.0,0.0,-12.14,29.13,,A,B,D,B,ABDB
A053260,21.58,0.88,1.9,-46.06,31.35,-6.1,-37.65,4.0,28.22,-0.7511142717748137,A,B,D,B,ABDB
A100700,12.29,1.03,2.05,-20.79,-10.34,-12.4,-27.68,10.12,5.96,-0.05772816547746314,A,B,D,B,ABDB
A095190,,1.6,,,,-8.48,-21.32,-2.7,115.43,-0.03636826460396446,A,B,D,B,ABDB
A201490,14.05,1.0,,-21.7,-12.58,-15.18,-32.64,14.81,16.35,-0.5357338117204852,A,B,D,B,ABDB
A000300,,1.47,,180.82,10.82,18.08,-21.74,17.75,388.27,-0.6616951460038748,A,B,D,B,ABDB
A034590,10.02,0.59,4.48,151.55,-12.36,-6.65,-2.59,4.11,111.57,-0.10072671217793437,A,B,D,B,ABDB
A368600,,1.81,,,,-10.19,,-15.33,28.37,0.5278104191147669,A,B,D,B,ABDB
A033170,11.72,0.67,,-53.91,,0.23,-49.35,6.97,47.14,-0.5071755670140267,A,B,D,B,ABDB
A312610,,0.98,,,,49.58,13.3,-5.9,2.21,-0.37980103967986834,A,B,D,B,ABDB
A023810,5.04,0.58,2.7,62.35,,37.35,3.51,16.09,198.67,1.0981673306772908,A,B,D,B,ABDB
A016090,3.81,0.4,5.02,34.71,14.26,-5.54,-15.34,13.02,22.67,-0.39848090941530306,A,B,D,B,ABDB
A367000,20.96,1.76,,-23.13,16.66,-28.92,-26.04,7.03,19.94,0.9400920260909137,A,B,D,B,ABDB
A006660,1.94,0.31,0.82,646.35,,20.24,-12.84,3.65,19.23,0.975817066824485,A,B,D,B,ABDB
A010600,,1.9,,,,13.69,-23.03,7.2,59.29,-1.5449399711186769,A,B,D,B,ABDB
A012790,8.07,0.79,1.41,71.09,13.2,-5.65,-16.73,11.55,15.86,-0.2426284488235723,A,B,D,B,ABDB
A373200,,6.96,0.94,,,-46.35,-41.53,-0.7,101.47,3.699874947894956,A,B,D,B,ABDB
A354200,,4.6,,,,-25.28,-34.02,-28.99,121.76,-2.120942054631447,A,B,D,B,ABDB
A014710,9.39,0.33,0.88,-3.0,11.78,0.73,-12.48,5.79,46.64,-0.03038767207032485,A,B,D,B,ABDB
A351320,77.61,2.23,0.58,,,25.65,4.9,-0.54,72.14,-0.010497268061151277,A,B,D,B,ABDB
A041910,,0.72,1.41,-24.82,-5.9,2.76,-15.2,2.64,7.09,0.44629305625623905,A,B,D,B,ABDB
A139670,,12.58,,,,-40.18,-51.11,-97.98,71.22,0.17686396059782608,A,B,D,B,ABDB
A023960,9.13,1.21,,,39.19,78.02,6.13,18.15,158.16,-1.285047538729913,A,B,D,B,ABDB
A096690,10.76,0.46,,,,15.03,7.2,0.24,33.69,0.6034587720682736,A,B,D,B,ABDB
A024740,11.49,0.7,,,36.71,2.38,-8.65,13.38,123.63,0.6086394117847296,A,B,D,B,ABDB
A007590,12.68,0.55,3.96,13.9,6.18,-2.3,-14.62,6.27,43.56,0.0711901473296501,A,B,D,B,ABDB
A012340,,4.24,,,,-3.37,-18.29,-35.58,342.88,-1.3117915214158602,A,B,D,B,ABDB
A058730,58.01,0.62,,167.77,55.65,-9.5,-16.89,8.6,141.66,-0.35205055395214596,A,B,D,B,ABDB
A001550,9.2,1.29,,286.93,130.87,-4.98,-33.12,20.76,111.52,-0.29147166801552954,A,B,D,B,ABDB
A024060,32.07,1.05,2.64,,39.53,-5.12,-30.61,1.71,17.29,0.028477218225419664,A,B,D,B,ABDB
A008250,14.6,0.39,1.4,-39.87,26.17,-6.01,-38.12,9.9,120.8,-0.1379872103484329,A,B,D,B,ABDB
A012160,,0.26,,-36.66,7.52,-4.24,-31.02,2.13,170.33,0.06765064391329695,A,B,D,B,ABDB
A045660,13.25,0.76,2.33,-70.6,-40.93,-5.83,-33.94,1.01,11.11,0.42149457613499397,A,B,D,B,ABDB
A237820,13.31,0.83,,67.63,-14.01,-31.69,-18.6,7.31,105.82,0.13880033219921237,A,B,D,B,ABDB
A242040,202.44,1.63,,102.24,-18.85,-41.18,-13.12,5.09,133.28,0.5139059710374926,A,B,D,B,ABDB
A129260,2.7,0.32,4.29,77.1,76.14,-15.2,-29.08,15.35,70.24,-0.22557488582640256,A,B,D,B,ABDB
A090080,10.6,1.56,,-3.08,,5.56,-24.89,17.01,471.05,-0.3199957362326951,A,B,D,B,ABDB
A294630,,5.62,,,,47.38,2.7,-27.01,123.46,0.35408443021803726,A,B,D,B,ABDB
A004780,7.05,0.52,2.33,27.04,4.99,-4.43,-20.9,7.66,41.95,0.07905132723242199,A,B,D,B,ABDB
A000040,,1.62,,,,21.67,-22.06,-13.82,272.74,0.2047242847869797,A,B,D,B,ABDB
A900310,6.13,0.32,,-65.07,-26.33,-20.54,-30.1,4.69,5.23,-0.8384867505642992,A,B,D,B,ABDB
A141020,,34.65,,,,0.0,0.0,-537.19,1273.3,,A,B,D,B,ABDB
A307870,,3.31,,,,-18.15,-28.57,-12.38,131.07,-0.332389289392379,A,B,D,B,ABDB
A169330,10.75,2.18,4.75,18.36,42.13,0.3,-20.47,26.79,54.74,-0.09316668575261342,A,B,D,B,ABDB
A010660,19.47,0.53,0.95,1.74,,-13.62,-15.83,1.01,25.31,-0.5303030303030303,A,B,D,B,ABDB
A290120,2.64,0.72,3.71,95.99,30.25,-14.87,-22.32,28.97,163.47,-0.30138463093353096,A,B,D,B,ABDB
A000950,1.11,0.32,2.25,,,-20.79,-36.58,-19.76,44.68,0.0006416751097602162,A,B,D,B,ABDB
A159910,,3.01,,,,-25.7,-57.03,-19.28,28.65,-1.7671639140472386,A,B,D,B,ABDB
A368970,37.12,1.43,,-61.0,-27.93,-20.16,,4.41,8.0,-4.69621370415736,A,B,D,B,ABDB
